content,url
"Giàu làm chị, khó làm em, Sang chớ kiêu căng, khó chớ hiềm . Dưới biết kính trên, trên dấu dưới, Ấy nhà còn thịnh, phúc còn thêm.",https://www.thivien.net/Nguy%E1%BB%85n-B%E1%BB%89nh-Khi%C3%AAm/B%C3%A0i-98/poem-mE-LYXC5BY8fjsmlyDfP6g
"Nhất bộc rành rành lại thập thành, Ở cho thực mặc ấy là ngoan. Đầy vơi chớ chớ chiều lòng thế, Thì mới nên danh giá tao đàn.",https://www.thivien.net/Tr%E1%BB%8Bnh-Doanh/Ban-cung-nh%C3%A2n-b%C3%A0i-7/poem-MwxPhw4C75HQsgfR8V0--g
"Văn chương phú lục đã xong rồi, Thừa giấy làm chi chẳng vẽ voi? Nhắn nhủ một lời cho chúng biết: Đứa nào cười tớ nó ăn bòi.",https://www.thivien.net/Nguy%E1%BB%85n-Qu%E1%BB%B3nh/B%E1%BB%A1n-quan-tr%C6%B0%E1%BB%9Dng-ch%E1%BA%A5m-thi/poem-xi6SHf8oI0xwzRyJgBD-6g
"Đồn Phố Hiến vui hơn kinh kỳ, Chơi ba ngày chẳng thấy quái gì. Ngô lớn, Ngô con răng trắng nhởn, Đĩ già, đĩ trẻ đách thâm sì.",https://www.thivien.net/Nguy%E1%BB%85n-Qu%E1%BB%B3nh/Ch%C6%A1i-Ph%E1%BB%91-Hi%E1%BA%BFn/poem-Yg6Mr8Wg9A6n-qpLItq_PQ
"Quan nhậm châu khách Hoan châu, Cầm bằng mà cũng chẳng nên rầu. Nay phảng phất thông tin sứ, Vò thấu chung tình nỗi nhỏ to.",https://www.thivien.net/Khuy%E1%BA%BFt-danh-Vi%E1%BB%87t-Nam/Chung-t%C3%ACnh-I-b%C3%A0i-5-Quan-nh%E1%BA%ADm-ch%C3%A2u-kh%C3%A1ch-Hoan-ch%C3%A2u/poem-6XE8_CHUbvt8Fbn9fjZhiQ
"Từ ghé non Bồng diễn bạn tiên, Chạnh lòng khao khát để riêng phiền. Trình từ diệu vợi người thân hữu, Thề có khi nào lặng chốc quên.",https://www.thivien.net/Khuy%E1%BA%BFt-danh-Vi%E1%BB%87t-Nam/Chung-t%C3%ACnh-II-b%C3%A0i-1-T%E1%BB%AB-gh%C3%A9-non-B%E1%BB%93ng-di%E1%BB%85n-b%E1%BA%A1n-ti%C3%AAn/poem-PPwwQdxPpTajZvNfSNVANA
"Thấy dân rét mướt, nghĩ mà thương, Vậy phải lên ngôi gỡ mối giường . Tay ngọc lần đưa thoi nhật nguyệt , Gót vàng dận dạn máy âm dương .",https://www.thivien.net/L%C3%AA-Th%C3%A1nh-T%C3%B4ng/D%E1%BB%87t-c%E1%BB%ADi/poem-1EWpuZh-pyaCZrrqX0o68g
"Xem ý trời đà ấy dục tình, Ngại vì mưa lớn mới thanh minh. Sương nghiêm vả có chiều êm tĩnh, Ai quyết nên thì mới kể rành.",https://www.thivien.net/Tr%E1%BB%8Bnh-Doanh/D%E1%BB%AF-cung-nh%C3%A2n-%C4%91%E1%BB%95-t%C3%ACnh-v%C5%A9/poem-gt4f_2-DO_EZvJTef238xg
"Một đoá đào hoa khá tốt tươi, Cách xuân mơn mởn thấy xuân cười. Đông phong ắt có tình hay nữa, Kín tịn mùi hương dễ động người.",https://www.thivien.net/Nguy%E1%BB%85n-Tr%C3%A3i/%C4%90%C3%A0o-hoa-thi-b%C3%A0i-1/poem-y4iJ6v3mYp-Z_KEorcHd_g
"Động người hoa khéo tỏ tinh thần, Ít bởi vì hoa, ít bởi xuân. Dẽ sử chim xanh đừng chuốc lối, Bù trì đã có khí hồng quân.",https://www.thivien.net/Nguy%E1%BB%85n-Tr%C3%A3i/%C4%90%C3%A0o-hoa-thi-b%C3%A0i-2/poem-T77YPUFr1r-w2GT5GOPcQw
